Date	Time	Temp(°F)    Precipitation(inch)	Wetness(U)  Relative-Humidity(% RH)
3/1/2014	00:00:00	52.9	0	3	86
3/1/2014	00:15:00	53	0	3	84.2
3/1/2014	00:30:00	53.4	0	5	83
3/1/2014	00:45:00	53.5	0	3	81.3
3/1/2014	01:00:00	53.9	0	1	80.8
3/1/2014	01:15:00	54.2	0	1	79.3
3/1/2014	01:30:00	54.4	0	2	79.4
3/1/2014	01:45:00	54.5	0	2	79.5
3/1/2014	02:00:00	54	0	9	82.1
3/1/2014	02:15:00	53.9	0	3	78.9
3/1/2014	02:30:00	54	0.008	4	81.8
3/1/2014	02:45:00	53	0.016	6	86.4
3/1/2014	03:00:00	52.7	0	2	85.3
3/1/2014	03:15:00	52.8	0	1	85
3/1/2014	03:30:00	52.8	0	1	84.4
3/1/2014	03:45:00	53.1	0	0	83.2
3/1/2014	04:00:00	53.2	0	0	82.2
3/1/2014	04:15:00	53.2	0	0	81.6
3/1/2014	04:30:00	53.4	0	0	81.6
3/1/2014	04:45:00	53.3	0	1	82.5
3/1/2014	05:00:00	53.1	0	3	83.6
3/1/2014	05:15:00	53.1	0	2	83.4
3/1/2014	05:30:00	52.8	0.008	4	85.7
3/1/2014	05:45:00	52.5	0	3	86
3/1/2014	06:00:00	52.5	0	2	85.2
3/1/2014	06:15:00	52.6	0	1	84.1
3/1/2014	06:30:00	52.9	0	1	82.9
3/1/2014	06:45:00	53	0	1	81.5
3/1/2014	07:00:00	53	0	1	81.6
3/1/2014	07:15:00	53.3	0	1	80.1
3/1/2014	07:30:00	53.6	0	0	78.7
3/1/2014	07:45:00	53.9	0	0	78.8
3/1/2014	08:00:00	54.3	0	0	76
3/1/2014	08:15:00	55.2	0	0	73.9
3/1/2014	08:30:00	55.6	0.008	0	73
3/1/2014	08:45:00	56.1	0	0	72
3/1/2014	09:00:00	57.1	0	0	70
3/1/2014	09:15:00	57.7	0	0	68.3
3/1/2014	09:30:00	58	0	0	68.8
3/1/2014	09:45:00	58.2	0	0	69.4
3/1/2014	10:00:00	58.7	0	0	67.7
3/1/2014	10:15:00	59	0	0	67.6
